"","rowname","error"
"1","ErrorMessage","could not find function ""congruence"""
"2","ErrorType","error"
"3","ErrorMessage1","argument ""x"" is missing, with no default"
"4","ErrorMessage2","non-numeric argument to binary operator"
"5","ErrorMessage4","could not find function ""cor.ci"""
"6","ErrorMessage6","supply both 'x' and 'y' or a matrix-like 'x'"
"7","ErrorMessage11","the condition has length > 1"
"8","ErrorMessage24","no applicable method for 'isSymmetric' applied to an object of class ""character"""
"9","ErrorMessage33","could not find function ""cor.plot"""
"10","ErrorMessage34","argument ""r"" is missing, with no default"
"11","ErrorMessage35","You need at least two dimensions to make a meaningful plot"
"12","ErrorMessage44","could not find function ""cor.plot.upperLowerCi"""
"13","ErrorMessage45","argument ""R"" is missing, with no default"
"14","ErrorMessage64","could not find function ""cor.smooth"""
"15","ErrorMessage68","Pearson correlations of the raw data were found
"
"16","ErrorType68","message"
"17","ErrorMessage72","could not find function ""cor.smoother"""
"18","ErrorMessage74","argument is of length zero"
"19","ErrorMessage78","could not find function ""cor.wt"""
"20","ErrorMessage79","argument ""data"" is missing, with no default"
"21","ErrorMessage80","non-numeric matrix extent"
"22","ErrorMessage115","could not find function ""corPlotUpperLowerCi"""
"23","ErrorMessage130","could not find function ""corr.p"""
"24","ErrorMessage131","The number of subjects must be specified"
"25","ErrorMessage133","NaNs produced"
"26","ErrorType133","warning"
"27","ErrorMessage145","could not find function ""corr.test"""
"28","ErrorMessage164","argument is not interpretable as logical"
"29","ErrorMessage165","could not find function ""correct.cor"""
"30","ErrorMessage167","argument ""y"" is missing, with no default"
"31","ErrorMessage168","only matrix diagonals can be replaced"
"32","ErrorMessage169","replacement diagonal has wrong length"
"33","ErrorMessage170","replacement element 1 has 10 rows to replace 1 rows"
"34","ErrorMessage173","could not find function ""cortest"""
"35","ErrorMessage174","argument ""R1"" is missing, with no default"
"36","ErrorMessage196","operations are possible only for numeric, logical or complex types"
"37","ErrorMessage199","could not find function ""cortest.bartlett"""
"38","ErrorMessage204","R was not square, finding R from data
"
"39","ErrorMessage210","could not find function ""cortest.jennrich"""
"40","ErrorMessage216","R1 matrix was not square, correlations found"
"41","ErrorMessage224","could not find function ""cortest.mat"""
"42","ErrorMessage238","could not find function ""cortest.normal"""
"43","ErrorMessage245","R1 was not square, finding R from data
"
"44","ErrorMessage255","could not find function ""cosinor"""
"45","ErrorMessage256","argument ""angle"" is missing, with no default"
